pond,side,density,pond_date,harvest_date,variety,boards
P6,AB,330,2026-07-20,2026-08-10,Mixed Version,180
P6,AB,330,2026-07-19,2026-08-09,Mixed Version,200
P6,AB,330,2026-07-16,2026-08-06,Mixed Version,180
P6,AB,330,2026-07-15,2026-08-05,Mixed Version,180
P6,AB,330,2026-07-13,2026-08-03,Mixed Version,280
P6,AB,330,2026-07-12,2026-08-02,Mixed Version,100
P7,AB,330,2026-07-30,2026-08-20,Mixed Version,180
P7,AB,330,2026-07-29,2026-08-19,Mixed Version,180
P7,AB,330,2026-07-27,2026-08-17,Mixed Version,180
P7,AB,330,2026-07-26,2026-08-16,Mixed Version,180
P7,AB,330,2026-07-23,2026-08-13,Mixed Version,180
P7,AB,330,2026-07-22,2026-08-12,Mixed Version,180
P7,AB,330,2026-07-20,2026-08-10,Mixed Version,180
P7,AB,330,2026-07-19,2026-08-09,Mixed Version,200
P7,AB,330,2026-07-16,2026-08-06,Mixed Version,180
P7,AB,330,2026-07-15,2026-08-05,Mixed Version,180
P7,AB,330,2026-07-13,2026-08-03,Mixed Version,280
P7,AB,330,2026-07-12,2026-08-02,Mixed Version,100
