chemical,crop,epa_registration,active_ingredients,frac_code,irac_code,phi_days,rei_hours,application_uom,maximum_quantity_per_acre,label_date,effective_date,expiration_date,dup_seq,dup_copies,is_redundant_copy,times_sprayed,last_sprayed,usage_bucket,compliance_id
Dupont Fontellis (2),Lettuce,352-834,,,,1,12,OZ,40.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,658a883f-9155-4265-b4a7-f01b17f26205
Endura,Cuke,7969-197,,,,0,12,OZ,6.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,9faa7c08-98ef-4ebe-be19-db1709c10eb1
Endura (2),Lettuce,7969-197,,,,0,12,OZ,16.25,2026-07-12,2026-07-12,,1,1,False,0,,never used,6ae4c743-40f2-4394-988c-81b04afc2c2d
Flint,Cuke,264-777,,,,0,12,OZ,4.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,3c672fa5-9409-42eb-bff1-af49393ef0c5
Flint (2),Lettuce,264-777,,,,0,12,OZ,10.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,dd1d2d28-447b-499f-860c-1172c1a33eca
Floramite,Cuke,400-508-59807,,,,12,12,OZ,16.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,bbe7f263-4b90-41d2-b18c-b41832110f26
Floramite (2),Lettuce,400-508-59807,,,,12,12,OZ,40.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,e41fb7fb-c4cc-4f33-9c92-1ad52d1a8ba5
Hexygon,Cuke,10163-251,,,,1,12,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,9687e94c-f8c0-4ba3-bc32-0beb31a73f3a
Hexygon (2),Lettuce,10163-251,,,,1,12,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,a1e615c4-7b02-4a5d-8114-63d02daed12f
Hi-Wett,Cuke,LEGACY_UNKNOWN,,,,0,0,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,b706bbfc-8bb6-46b8-9c35-f1263aea390a
Hydrogen Peroxide *,Cuke,LEGACY_UNKNOWN,,,,0,0,FLOZ,-1,2026-07-12,2026-07-12,,1,1,False,0,,never used,31b523ad-fbdc-40c6-9e69-3423e329cb27
Induce Surfactant,Lettuce,N/A,,,,0,0,FLOZ,5.75,2015-01-01,2015-01-01,,1,2,False,26,2026-07-18,used last 12mo,a52ac574-ebf1-4083-8521-99be3892af55
Induce Surfactant,Lettuce,N/A,,,,0,0,FLOZ,5.75,2015-01-01,2015-01-01,,2,2,True,26,2026-07-18,used last 12mo,e33c256a-ae4f-4329-9c7e-173da9c47476
Kaligreen,Cuke,11581-2,,,,1,4,LB,2.5,2026-07-12,2026-07-12,,1,1,False,3,2024-04-16,dormant 12mo+,55a03c60-141e-4333-9b8e-754ba87a2459
